SGI,med_10m,med_20m
B58-34,-0.351,-0.371
B60-02,-1.2295,-0.586
B60-03,-1.7315,-0.8955
B60-04,-0.983,-0.504
B60-05,-1.1935,-0.6785000000000001
B60-06,0,0
B60-08,-0.731,-0.304
B60-10,-1.6444999999999999,-0.866
B60-12,-1.0419999999999998,-0.59
B60-13,-0.997,-0.5035000000000001
B60-19,-1.0314999999999999,-0.225
B60-22,-2.3385,-1.283
B61-02,-1.011,-0.562
B62-08,0,0
B62-09,-2.9555,-1.2480000000000002
B62-13,-3.374,-2.1435
B62-17,0,0
B63-01,-0.4305,0
B63-02,0,0
B63-03,-2.278,-1.1515
B63-07,-1.0855000000000001,-0.406
B63-10,-1.482,-0.776
