SGI,med_10m,med_20m
B43-13,-1.1284999999999998,-0.421
B44-03,-0.1655,-0.039
B44-10,-0.524,-0.169
B44-11,-0.044,-0.016
B44-12,-0.279,0
B44-16,-0.315,-0.0765
B44-17,0,0
B44-19,-0.89,-0.382
B44-20,-0.254,-0.081
B44-22,0,0
B44-23,-0.011,-0.004
B44-24,-0.5195000000000001,-0.1805
B44-28,-0.0315,-0.009
B44-29,-0.067,-0.021
B44-30,-0.315,-0.07050000000000001
B45-02,-0.4365,-0.136
B45-03,0,0
B45-05,-0.094,0
B45-06,-0.001,0
B45-07,-0.0445,-0.017
B45-08,-0.168,-0.054
B45-11,0,0
B45-15,-0.208,-0.0635
B45-20,-0.241,-0.082
B45-25,-0.149,0
B45-26,-0.298,-0.12
B45-29,-0.005,-0.002
B45-32,-0.184,0
B46-02,-1.7595,-0.8785000000000001
B46-04,0,0
B46-05,-0.5965,-0.321
B46-06,-1.189,-0.5985
B46-07,-1.7405,-1.0514999999999999
B46-10,-0.0765,-0.0215
B46-11,-0.1085,-0.049
B46-13,0,0
B46-16,0,0
B46-17,-0.966,-0.4885
B46-20,-1.083,-0.5575000000000001
B46-22,-0.01,-0.006
B46-23,-0.556,-0.1965
B46-25,-1.2785,-0.633
B46-30,-0.022,-0.011
B46-31,-1.2189999999999999,-0.5994999999999999
B46-34,-0.4975,-0.2055
B46-36,-0.074,0
B46-37,-2.3395,-1.1675
B46-39,-0.001,0
B46-42,-0.088,0
B46-43,-0.335,-0.0595
B46-44,-0.005,-0.003
B46-45,-0.001,-0.001
B46-46,0,0
B47-01,-0.153,-0.063
B47-02,0,0
B47-03,-1.223,-0.5345
B47-05,-0.4175,-0.1555
B47-13,-0.0,0
B47-16,-0.3215,-0.0805
B50-02,0,0
B51-02,-1.193,-0.418
B51-04,-0.5965,-0.1675
B51-05,0,0
B51-06,-1.6205,-0.6174999999999999
B51-08,-0.916,-0.2365
B51-09,0,0
B51-10,-3.1045,-1.452
B51-12,-0.7995000000000001,-0.2215
B51-14,-0.19,-0.065
B52-04,-0.1155,-0.0285
B52-05,0,0
B52-06,0,0
B52-08,-0.971,-0.3395
B52-11,0,0
B52-12,-0.341,-0.114
B52-13,-0.132,-0.0465
B52-17,-0.002,-0.001
B52-20,0,0
